Input,Category
Snakes are stinky,Musk
Some snakes are very stinky,Musk
Name?,Name
Who are you,Name
What is your name?,Name
Snakes free roam and cohabitate with lots of snakes,Pairs
Snakes live in groups,Pairs
 Snakes like to cuddle with eachother,Pairs
Are snakes social?,Pairs
Snakes always travel in pairs?,Pairs
"If you kill a snake, its partner will come after you?",Pairs
If one snake is killed its partner will track you,Pairs
Snakes have partners,Pairs
Is it okay to help peel off their shedding skin?,Pet Snakes
How often do you feed them?,Pet Snakes
Are snakes affectionate?,Pet Snakes
Snakes make bad pets,Pet Snakes
Snakes are dangerous pets,Pet Snakes
Pet snakes are dangerous,Pet Snakes
Snakes don't care about their owners,Pet Snakes
Snakes can't recognize their owners,Pet Snakes
Snakes are cuddly to people,Pet Snakes
Snakes can bond with their owners,Pet Snakes
Snakes are terrible pets,Pet Snakes
How much space do snakes need to live comfortably?,Pet Snakes
What is it like having a snake as a pet?,Pet Snakes
Snakes are boring,Pet Snakes
Can snakes be pets,Pet Snakes
Are snake good pets,Pet Snakes
Snakes are poisonous?,Poisonous
Are they poisonous?,Poisonous
Snakes can poison me?,Poisonous
How do I know if a snake is poisonous,Poisonous
All venomous snakes have elliptical pupils?,Pupils
Snake has vertical pupils it is venomous,Pupils
You can tell a snake is venomous by its pupils,Pupils
You can tell a snake is venomous by its eyes,Pupils
Dangerous snakes have cat eyes,Pupils
How are you useful?,Purpose
Why were you created?,Purpose
What is your purpose?,Purpose
Rattlesnakes always rattle before striking?,Rattle
All snakes flick their tails,Rattle
Do other snakes rattle,Rattle
Only rattlesnakes rattle?,Rattle
Snakes that rattle tail are dangerous,Rattle
You can tell a rattlesnakes age from the number of rattles?,Rattle
Snakes pretend to be dead,Scared
Snakes don't feel fear,Scared
How do you know when a snake is scared,Scared
How do you know when a snake is threatened,Scared
How do you know when a snake will bite,Scared
Snakes never stop growing,Size
How big are pet snakes?,Size
Snake is going to eat my,Size
Snakes become huge,Size
Snakes are slippery and wet,Slimy
Snakes have mucus,Slimy
Snakes are slimy?,Slimy
They are slimy,Slimy
Snakes use their tongue to smell,Smell
Snakes sniff with their tongue,Smell
They cant smell,Smell
They don't smell,Smell
Snakes don't smell,Smell
Snakes can't smell,Smell
Snakes use their tongue to taste people,Smell
A bowl of milk will attract snakes?,Snake Attraction
How do I keep snakes out of my yard?,Snake Attraction
How do I keep out of my house?,Snake Attraction
Snakes are attacted to,Snake Attraction
Milksnakes drink milk,Snake Attraction
Is it legal to kill snakes?,Snake Benefits
I should have snakes removed from my,Snake Benefits
Snakes are bad,Snake Benefits
Venomous snakes should be removed,Snake Benefits
Snakes shouldn't exist,Snake Benefits
Will I get sick if I get bitten by a non-venomous snake?,Snake Bite
What should I do when bitten by a snake,Snake Bite
How bad are snake bites?,Snake Bite
Shocking venom with electricty neurtralizes it,Snake Bite
Snakebites should be sucked out,Snake Bite
They asphyxiate things to death,Suffication
They sufficate to death,Suffication
They squeeze to death,Suffication
Pythons asphyxiate their prey by squeezing them?,Suffication
Snakes sufficate prey,Suffication
Snakes squeeze prey to death,Suffication
Snakes swim underwater ,Swim
Snakes swim ontop of water,Swim
Cottonmouths always swim with the entire body visible on water?,Swim
Snakes can't swim,Swim
Snakes cannot strike underwater?,Swim
Snakes use their tails to attack,Tails
Snakes use their tails as weapons,Tails
Snakes attack with their tails,Tails
Snakes will whip tails,Tails
Snakes can sting with their tails,Tails
How much do you know?,Topics
What have we talked about?,Topics
What have I learned again?,Topics
What do you know about snakes?,Topics
What else do you know?,Topics
I understand,Understand
Interesting,Understand
I see,Understand
I didn't know that,Understand
Alright,Understand
Okay,Understand
Yes,Understand
Okay,Understand
Thank you,Understand
Cool,Understand
Juvenile venomous snakes are more dangerous than adults?,Venomous
Red touches black your okay jack but red touches yellow you're a dead fellow,Venomous
triangle shape head snakes are venomous,Venomous
Only venomous snakes have triangular head?,Venomous
Are all snakes venomous?,Venomous
Are they venomous?,Venomous
All snakes are venomous,Venomous
Snake that can flare up are venomous,Venomous
is it true that when rattlesnakes are babies that they let out all or most of their venom on their prey?,Venomous
Baby snakes more dangerous than adults,Venomous
Snakes are bad,Snake Benefits
Snakes are not cute,Pet Snakes
Snakes feel no love,Brain
Snakes are emotionless,Brain
Can snakes grow hair,Body
Snakes are mean,Behavior
Why should snakes exist,Snake Benefits
Are snakes any good,Snake Benefits
